pr_number,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_build_runs,number_of_build_failures,number_of_reviews_requested,number_of_revisions,issue_comments_text,issue_text,review_comments,repo,comments,comment_author_number,issue_text_wordiness,issue_comments_text_length,issue_comments_text_wordiness,code_changes_ratio,label_count,Issue Lifetime,day_of_week,weekday,Author PRs Opened,Open PRs at Open Date,Issues Closed in Last 2 Weeks,Issues Opened in Last 2 Weeks
7308,0,0,1,9,2,1,1,[],0.0,0,0.7022222222222222,0,0,0,0,1,,,,1,0,0,0,0,,4.5,0,1,1,1,27,2,43,41
7303,0,0,1,9,1,1,1,[],0.0,0,0.4558333333333333,0,0,0,0,1,,,,1,0,0,0,0,,9.0,0,1,1,1,26,3,41,41
7301,0,0,2,40,1,1,1,[],0.0,0,2.777222222222222,0,0,0,0,2,,resolves,,1,0,0,2,0,,40.0,0,2,1,1,25,1,42,39
7288,0,0,1,12,3,1,1,[],0.0,0,1.6558333333333333,0,0,0,0,1,,,,1,0,0,0,0,,4.0,0,2,0,1,6,1,38,36
7295,0,0,1,2,1,1,1,[],0.0,0,1.0805555555555555,0,0,0,0,1,,,,1,0,0,0,0,,2.0,0,2,1,1,24,2,40,37
7286,0,0,1,4,1,1,1,[],0.0,1,1.5455555555555556,0,0,0,1,1,,resolves bump upload download artifact build action versions for actions missed in the previous pr use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,0,0,101,0,,4.0,0,2,0,1,23,4,40,39
7296,0,0,1,13,2,1,1,[],0.0,0,0.8508333333333333,0,0,0,0,1,,,,1,0,0,0,0,,6.5,0,1,1,1,20,3,39,38
7267,0,3,3,116,10,1,1,[],0.0,0,102.0475,0,0,0,0,3,,resolves,would suggest moving this code into the model method from the name it looks like this value will be used only in the insurevisible method suggest moving these constants to the method and then maybe it will be easier to choose name let also abandon searching for parent by name and pass it directly through all the children don like the search approach because it hard to control someone will delete or just rename the name and everything will break,1,0,0,2,0,,11.6,0,3,4,1,22,1,41,33
7302,0,0,5,905,72,1,1,[],0.0,0,0.6175,0,0,0,0,5,,,,1,0,0,0,0,,12.569444444444445,0,1,1,1,25,2,40,40
7294,2,0,1,132,1,1,1,[],11.893333333333333,0,12.690555555555555,0,0,0,0,1,lwinterberg it ready checked many times please merge taking break from translations anyway everything has been fixed like to see all these fixes in the new official audacity translation on the transifex by default and without historical translations lwinterberg thank you,update polish translation major fixes translated pitch names fixed all strings translations greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,1,1,120,46,46.0,132.0,0,2,0,1,7,1,38,36
7283,0,0,1,15,4,1,1,[],0.0,0,1.0330555555555556,0,0,0,0,1,,,,1,0,0,0,0,,3.75,0,2,0,1,19,3,40,37
7281,0,0,1,36,1,1,1,[],0.0,0,2.0102777777777776,0,0,0,0,1,,,,1,0,0,0,0,,36.0,0,2,0,1,18,2,39,37
7266,3,0,2,4,1,1,1,[],59.53916666666667,0,79.1675,0,0,0,0,2,please rebase on the latest master to get the ci build working can do that today how do you want me to do this from past experience if just sync the master to my fork then that will introduce all of those changes to my pull request can do that today how do you want me to do this from past experience if just sync the master to my fork then that will introduce all of those changes to my pull request yes that should work thank you thank you,resolves short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,1,2,100,96,48.0,4.0,0,3,4,1,0,0,37,32
7284,0,0,1,16,1,1,1,[],0.0,1,0.7475,0,0,0,0,1,,resolves fix app crash when toggling toolbar buttons off use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,0,0,95,0,,16.0,0,1,0,1,22,4,38,38
7277,1,0,1,2,1,1,1,[],3.693611111111111,1,3.78,0,0,0,1,1,also this probably doesn need qahooray hooray,in continuation of replace warning with debug as warning produces modal dialog on windows which not useful for the user and may interfere with ci tests use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,1,1,114,6,6.0,2.0,0,2,6,0,20,2,37,35
7280,0,0,2,24,1,1,1,[],0.0,1,1.7927777777777778,0,0,0,0,2,,is deprecated as of use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,0,0,92,0,,24.0,0,2,0,1,21,1,37,36
7269,2,0,1,174,1,1,1,[],12.473888888888888,0,32.468333333333334,0,0,0,0,1,lwinterberg it ready please merge ve probably standardized everything can lwinterberg thank you,update polish translation major fixes audio unit should not be translated sample translated as like sample rate greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,1,1,129,14,14.0,174.0,0,2,4,1,6,2,36,34
7270,0,1,1,104,8,1,1,[],0.0,0,1.7880555555555555,0,0,0,0,1,,resolves,should be inside trackeditinteraction mergeselectedontrack the reason is that the action controller is called only for processing of actions but service method can be called in other cases in some scenario from some api extensions etc in this case all the logic associated with this operation must be executed if we ever need to not modify the history in some case then it is better to do this explicitly in the service method add flag do not change history,1,0,0,2,0,,13.0,0,2,4,1,23,3,36,35
7254,0,6,1,105,9,1,1,[],0.0,0,22.401944444444446,0,0,0,0,1,,resolves,think either should be sent here or the track id should be pass to think pushhistorystate should be inside trackeditinteraction split we need to either add the track id argument here or send new action with the track id as is done for clips in doglobalsplit think pushhistorystate should be inside trackeditinteraction split it looks like we should just resend the action with the track id argument here better to add,1,0,0,2,0,,11.666666666666666,0,2,2,1,21,1,40,39
7215,0,2,1,4,1,2,1,[],0.0,0,142.63666666666666,0,0,0,0,1,,,could you also update comments to reflect changes fixed,1,0,0,0,0,,4.0,0,3,4,1,24,3,41,38
7238,0,2,4,132,4,2,2,[],0.0,0,28.201944444444443,0,0,0,0,4,this patch seems to have fixed the problem wonder how long before we see it show up in arch default repo no sign of when try to upgrade root apt install audacity audacity is already the newest version dfsg chandigarit unfortunately is not released yet but it will be pretty soon thanks for fixing white screen issue thank you was ust saved by your timely release,resolves on certain combination of wxwidgets versions and os waveform painting was corrupting the memory and resulted in white screen use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,0,0,2,0,,33.0,0,3,1,1,2,5,17,14
6955,4,0,1,2,1,2,2,['bug'],116.57638888888889,1,1023.3044444444445,0,0,0,0,1,,resolves,,1,1,4,108,71,17.75,2.0,1,2,2,1,17,3,43,41
7249,0,0,2,60,6,1,1,[],0.0,0,2.787777777777778,0,0,0,0,2,,resolves,,1,0,0,2,0,,10.0,0,2,2,1,19,2,40,40
