lines_of_code_changed,number_of_files_changed,number_of_assignees,number_of_linked_issues,number_of_reviews_requested,number_of_milestones,dependency_changes,number_of_commits,test_coverage,issue_text_wordiness,bug,ui,dependencies,submodules,type: code-quality,tests,openoffice/libreoffice,status: ready-for-review,jabcon,type: documentation,internationalization,ai,skip-verify-files,javascript,backport,docs,windows,platform-ios,tool,engine,a: desktop,framework,f: material design,f: cupertino,warning: land on red to fix tree breakage,a: tests,f: integration_test,a: text input,d: docs/,f: scrolling,a: accessibility,d: api docs,d: examples,f: routes,autosubmit,will affect goldens,c: tech-debt,c: flake,platform-android,cp: beta,cp: review,team,refactor,status: waiting review,scope: curriculum,scope: i18n,full stack cert,platform: learn,crowdin-sync,new english course,scope: tools/scripts,new javascript course,status: waiting update,platform: api,new python course,status: merge conflict,lgtm,🤖:bug,community,🤖:docs,🤖:nit,🤖:release,langchain,partner,documentation,test,author ready,needs-ci,dont-land-on-v18.x,dont-land-on-v20.x,strip-types,module,semver-minor,lib / src,notable-change,baking-for-lts,buffer,benchmark,doc,meta,commit-queue-squash,commit-queue-failed,build,lts-watch-v18.x,lts-watch-v20.x,c++,fs,permission,review wanted,esm,assert,tools,path,backport-requested-v22.x,release,test_runner,web-standards,experimental,backported-to-v22.x,sqlite,v23.x,stream,semver-major,v8 engine,fast-track,util,dont-land-on-v22.x,cares,vm,revert,crypto,webcrypto,http2,http,embedding,icu,v22.x,backport-open-v22.x,url,net,errors,github_actions,cli,process,deprecations,os,backport-open-v20.x,needs-benchmark-ci,backported-to-v18.x,v20.x,backport-requested-v20.x,coverage,backport-blocked-v20.x,python,v18.x,open source,topic: not user facing,merged,beta-accepted,merged-by-bors,rollup,beta-nominated,disposition-merge,finished-final-comment-period,to-announce,perf-regression,relnotes,perf-regression-triaged,llvm-main,c++ interop,🍒 release cherry pick,swift 6.1,run-slow,label_count,add,ani,branch,chang,checklist,close,contribut,descript,document,fix,follow,issu,like,make,new,pleas,pr,pull,read,request,test,thi,use,Issues Opened in Last 2 Weeks,Issues Closed in Last 2 Weeks,Open PRs at Open Date,Author PRs Opened,day_of_week,weekday,repo_10,repo_11,repo_12,repo_13,repo_14,repo_15,repo_2,repo_3,repo_4,repo_5,repo_6,repo_7,repo_8,repo_9,Issue Lifetime
85,2,0,0,1,0,False,1,0.0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.11727098962405157,0.12448175974457484,0.0,0.09750923398088852,0.0,0.0,0.8380588269630403,0.0,0.12429834094183949,0.10439837311417831,0.0,0.0,0.0,0.12725954395082056,0.12855055690359415,0.2147830131261961,0.11037108049939066,0.11194911536767141,0.12003457281463875,0.10975718446138139,0.09605809459186102,0.30545638792899776,0.0,80,81,53,3,4,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4
2,1,0,0,0,0,False,1,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158,136,87,0,6,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
121,6,0,0,3,0,False,1,0.0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071222648004197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590384323693847,0.0,113,102,48,4,6,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2
693,5,0,0,0,0,False,2,0.0,3034,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5601395171651624,0.0,0.0,0.027396964433702868,0.0,0.07356087756761047,0.0,0.016846047370519698,0.0698476869712523,0.7773136713002342,0.0,0.01420571020556969,0.0,0.03575584646837884,0.12641502882063058,0.06034713156228111,0.06202146080942084,0.0,0.0,0.0,0.2024193063821745,0.0,0.06913636458464892,92,82,68,16,4,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3
83,1,0,0,0,0,False,2,0.0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6917071245346066,0.0,0.5938866743398494,0.0,0.0,0.0,0.0,0.41090129217321764,0.0,30,9,45,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3
74,2,0,0,0,0,False,4,0.0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31254542170963995,0.0,0.0,0.2598772701828577,0.0,0.0,0.0,0.0,0.33127440564813104,0.0,0.0,0.26950001692090764,0.0,0.0,0.0,0.0,0.2941560910317052,0.0,0.0,0.2925199626362633,0.0,0.6105665767289977,0.32790073772777123,146,131,82,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
60,1,0,0,0,0,False,3,0.0,180,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.1736776543820109,0.0,0.5441817362844746,0.0,0.0,0.0,0.1673052379544389,0.5202652422969541,0.0,0.1854356443053513,0.14108293025542631,0.0,0.0,0.0,0.14983323660189554,0.15399035498915895,0.3123840763031255,0.0,0.30626768753816863,0.2680415923963805,0.10654361948362073,0.0,40,37,4,12,6,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2
116,7,0,0,9,0,False,2,0.0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,122,53,14,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2
764,10,0,0,0,1,False,19,0.0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15289074777568087,0.0,0.0,0.0,0.0,0.0,0.0,0.15633705500312195,0.0,0.13610821724248195,0.0,0.0,0.3337186640768399,0.0,0.0,0.0,0.0,0.0,0.0,0.1430947079055969,0.0,0.39823536676068727,0.802011251887266,56,99,12,4,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4
2,2,0,0,0,0,False,1,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,10,79,4,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
